,road,idx,lrp,lat,lon
176233,R170,200,LRP059,21.8790271,91.9739438
176239,R203,200,LRP068b,23.8760827,91.0704438
176251,R250,200,LRP086a,24.8673604,92.3967219
176254,R281,200,LRP069,24.841194100000003,92.1598333
176268,R360,200,LRP075,24.3442497,90.7563889
176270,R370,200,LRP079b,24.910277800000003,91.0428608
176281,R545,200,LRP080a,25.0021389,88.7522222
176283,R547,200,LRP089b,24.858277800000003,88.43030490000001
176293,R585,200,LRP085a,25.538833,88.8056111
176310,R745,200,LRP089a,23.6060833,88.8989163
176332,R860,200,LRP053b,23.1778327,90.5665833
176337,R890,200,LRP107b,22.0796938,90.6173882
176504,Z1811,200,LRP192d,21.4040278,92.1893608
176560,Z2834,200,LRP161,25.2587778,89.9595
176900,Z7710,200,LRP037a,22.725416,89.98266600000001
176980,Z8708,200,LRP059,22.1636389,90.0150833
177000,N1,201,LRP093,23.4236938,91.1626944
177002,N102,201,LRP073,23.9701382,91.10125
177006,N106,201,LRP059a,22.6474163,92.1364163
177022,N2,201,LRP074c,24.0385274,91.00425
177034,N3,201,LRP084,24.5126111,90.3946108
177038,N4,201,LRP078,24.3735549,89.9649722
177047,N5,201,LRP065a,23.834888600000003,89.8720827
177056,N509,201,LRP104,26.3967774,88.9354441
177068,N6,201,LRP104a,24.402027800000003,88.9687771
177073,N7,201,LRP080a,23.4844441,89.3877497
177088,N8,201,LRP080a,23.2929163,90.0047778
177093,N805,201,LRP068a,23.026416,89.8348608
177103,R140,201,LRP087,23.0882497,90.7681938
177113,R160,201,LRP082,23.083583,91.9468052
177118,R170,201,LRP059a,21.8737493,91.975416
177124,R203,201,LRP068c,23.8760827,91.0705271
177136,R250,201,LRP087,24.8671382,92.3881386
177139,R281,201,LRP069a,24.8429441,92.1603056
177153,R360,201,LRP075a,24.342083,90.7566944
177155,R370,201,LRP080,24.9133056,91.0452774
177166,R545,201,LRP080b,25.0069444,88.7529722
177168,R547,201,LRP090,24.8577222,88.4284716
177178,R585,201,LRP085b,25.522166,88.8000278
177195,R745,201,LRP090,23.6034722,88.9085
177217,R860,201,LRP054,23.1774993,90.569666
177222,R890,201,LRPE,22.0808882,90.6143889
177389,Z1811,201,LRP192e,21.4035,92.1869719
177445,Z2834,201,LRP161a,25.2587778,89.95952779999999
177785,Z7710,201,LRP037b,22.7243327,89.9822493
177865,Z8708,201,LRP059a,22.1606944,90.01486109999999
177885,N1,202,LRP093a,23.4235827,91.1629722
177887,N102,202,LRP073a,23.1011944,91.1011944
177891,N106,202,LRP059b,22.6480552,92.136833
177907,N2,202,LRP074c,24.0385274,91.00425
177919,N3,202,LRP084a,24.5190827,90.3984163
177923,N4,202,LRP078a,24.375166,89.97072159999999
177932,N5,202,LRP065b,23.8349163,89.8715549
177941,N509,202,LRP105,26.4023333,88.9277771
177953,N6,202,LRP104b,24.4020833,88.968416
177958,N7,202,LRP081,23.484833,89.3837497
177973,N8,202,LRP080b,23.2882497,90.0089444
177978,N805,202,LRP068b,23.022471600000003,89.83999969999999
177988,R140,202,LRP087a,23.0811938,90.769416
177998,R160,202,LRP083,23.0819438,91.9548056
178003,R170,202,LRP059b,21.8703882,91.975666
178009,R203,202,LRP069,23.8762493,91.0731104
178021,R250,202,LRP087a,24.8674716,92.3852497
178024,R281,202,LRP069b,24.8434163,92.1604444
178038,R360,202,LRP075b,24.3394997,90.7574444
178040,R370,202,LRP080a,24.9150556,91.0466663
178051,R545,202,LRP081,25.0093889,88.75327779999999
178053,R547,202,LRP090a,24.8565833,88.4267771
178063,R585,202,LRP086,25.538833,88.8000556
178080,R745,202,LRP090a,23.6009722,88.9146944
178102,R860,202,LRP055,23.178166,90.5794716
178274,Z1811,202,LRP192f,21.4534167,92.1898052
178330,Z2834,202,LRP161b,25.2587222,89.9595556
178670,Z7710,202,LRP037c,22.7200827,89.9806382
178750,Z8708,202,LRP060,22.1551111,90.0124167
178770,N1,203,LRP093b,23.423416,91.1632778
178772,N102,203,LRP073b,23.9709716,91.1011667
178776,N106,203,LRP059c,22.648888600000003,92.1379997
178792,N2,203,LRP074d,24.0376386,91.0067778
178804,N3,203,LRP084b,24.5201104,90.3988886
178808,N4,203,LRP078b,24.3751104,89.9714993
178817,N5,203,LRP065c,23.834888600000003,89.8713604
178826,N509,203,LRPE,26.4069444,88.9238327
178838,N6,203,LRP104c,24.4024167,88.96547220000001
178843,N7,203,LRP081a,23.4848052,89.3830827
178858,N8,203,LRP081,23.2859719,90.0107778
178863,N805,203,LRP069,23.0201104,89.8413608
178873,R140,203,LRP088,23.0793882,90.76955490000002
178883,R160,203,LRP084,23.0887497,91.9529167
178888,R170,203,LRP060,21.870166,91.9756938
178894,R203,203,LRP069a,23.8762493,91.076916
178906,R250,203,LRP087b,24.8675271,92.3849719
178909,R281,203,LRP069c,24.8457497,92.1604722
178923,R360,203,LRP076,24.3348608,90.7565556
178925,R370,203,LRP080b,24.9155,91.0470274
178936,R545,203,LRP081a,25.0173604,88.7554167
178938,R547,203,LRP090b,24.8553611,88.4242216
178948,R585,203,LRP086a,25.5394997,88.79374969999999
178965,R745,203,LRP091,23.5997497,88.9173327
178987,R860,203,LRP056,23.1818049,90.5803327
179159,Z1811,203,LRP192g,21.400527800000003,92.1909441
179215,Z2834,203,LRP161c,25.2598056,89.95711109999999
179555,Z7710,203,LRP038,22.7183049,89.9784993
179635,Z8708,203,LRP060a,22.1508333,90.0103333
179655,N1,204,LRP093c,23.4213604,91.167666
179657,N102,204,LRP074,23.9790549,91.1003333
179661,N106,204,LRP060,22.6510833,92.1412497
179677,N2,204,LRP074e,24.0373052,91.0073056
179689,N3,204,LRP085,24.5205271,90.399083
179693,N4,204,LRP079,24.3756938,89.97405490000001
179702,N5,204,LRP066,23.8346663,89.8685271
179723,N6,204,LRP105,24.4025556,88.96513890000001
179728,N7,204,LRP081b,23.4835552,89.3758049
179743,N8,204,LRP081a,23.2807493,90.0127778
179748,N805,204,LRP069a,23.0180827,89.84249969999999
179758,R140,204,LRP088a,23.0763327,90.7707493
179768,R160,204,LRP085,23.0944163,91.9550556
179773,R170,204,LRP061,21.8614167,91.9778049
179779,R203,204,LRP069b,23.8759438,91.082416
179791,R250,204,LRP088,24.8718049,92.3804438
179794,R281,204,LRP069d,24.8470274,92.1606111
179808,R360,204,LRP076a,24.3267771,90.7624722
179810,R370,204,LRP081,24.9205271,91.0510556
179821,R545,204,LRP082,25.017916,88.7555833
179823,R547,204,LRP091,24.8535833,88.4194993
179833,R585,204,LRP087,25.5398052,88.79041629999999
179850,R745,204,LRP092,23.5954997,88.9258882
179872,R860,204,LRP056a,23.1827216,90.5805271
180044,Z1811,204,LRP193,21.3999163,92.1916941
180100,Z2834,204,LRP162,25.2635278,89.9545278
180440,Z7710,204,LRP038a,22.7179993,89.977166
180520,Z8708,204,LRP060b,22.1507222,90.0103056
180540,N1,205,LRP094,23.4195271,91.171416
180542,N102,205,LRP074a,23.9819438,91.10025
180546,N106,205,LRP061,22.654,92.1470274
180562,N2,205,LRP075,24.0368608,91.0090278
180574,N3,205,LRP085a,24.5249438,90.4011667
180578,N4,205,LRP079a,24.379666,89.9802493
180587,N5,205,LRP066a,23.8342774,89.8668327
180608,N6,205,LRP105a,24.4028611,88.96288890000001
180613,N7,205,LRP082,23.4833886,89.37402709999999
180628,N8,205,LRP082,23.2778882,90.0134444
180633,N805,205,LRP069b,23.0138611,89.8441108
180643,R140,205,LRP089,23.0755271,90.7711938
180653,R160,205,LRP085a,23.0932497,91.9575556
180658,R170,205,LRP061a,21.8603056,91.9779993
180664,R203,205,LRP070,23.8763327,91.0834997
180676,R250,205,LRP088a,24.8733882,92.3800549
180679,R281,205,LRP069e,24.8473052,92.1607778
180693,R360,205,LRP077,24.3266104,90.76275
180695,R370,205,LRP081a,24.920916,91.0513889
180706,R545,205,LRP082a,25.0230827,88.7569167
180708,R547,205,LRP091a,24.8505556,88.41286109999999
180718,R585,205,LRP087a,25.5402497,88.7857219
180735,R745,205,LRP093,23.590083,88.9344441
180757,R860,205,LRP062a,23.1642778,90.6429163
180929,Z1811,205,LRP193a,21.3982497,92.1921941
180985,Z2834,205,LRP162a,25.2656944,89.9581944
181325,Z7710,205,LRP038b,22.7178882,89.97655490000001
181405,Z8708,205,LRP061,22.1465552,90.0098611
181425,N1,206,LRP094a,23.4191382,91.1721938
181427,N102,206,LRP075,23.987583,91.1025278
181431,N106,206,LRP062,22.6584167,92.1513611
181447,N2,206,LRP075a,24.0360274,91.01325
181459,N3,206,LRP085b,24.5279993,90.4019444
181463,N4,206,LRP079b,24.379916,89.9802493
181472,N5,206,LRP066b,23.8342497,89.86661109999999
181493,N6,206,LRP105b,24.4035833,88.9598056
181498,N7,206,LRP082a,23.4887774,89.3677216
181513,N8,206,LRP082a,23.2745827,90.0141667
181518,N805,206,LRP069c,23.0129167,89.8439719
181528,R140,206,LRP089a,23.0753604,90.7712493
181538,R160,206,LRP085b,23.0929163,91.9575556
181543,R170,206,LRP061b,21.8579444,91.9785271
